AgencyGroupID,GroupCode,GroupName,GroupHead,ClusterCode,ParentGroupCode,DirectorateCode,Added_by,entry_stamp,last_modified_by,last_modified,DELETED,office_type
166,CARAGA-FO-4PS-IPD,FO Pantawid - Institutional Partnership Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
167,CARAGA-FO-4PS-MCCT,FO Pantawid - Modified Conditional Cash Transfer Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
168,CARAGA-FO-4PS-OPS,FO Pantawid - Operation,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
169,CARAGA-FO-4PS-PMES,FO Pantawid - Planning and Monitoring and Evaluation Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
170,CARAGA-FO-4PS-RPMO,FO Pantawid Regional Program Management Office,NULL,NULL,CARAGA-FO-PROSD,16,NULL,NULL,NULL,NULL,0,2
171,CARAGA-FO-4PS-SMU,FO Pantawid - Social Marketing Unit,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
172,CARAGA-FO-4PS-SSDMS,FO Pantawid - Social Services Delivery and Management Section,NULL,NULL,CARAGA-FO-4PS,16,NULL,NULL,NULL,NULL,0,2
173,CARAGA-FO-AD,FO Administrative Division,NULL,NULL,CARAGA-FO-OARDA,16,NULL,NULL,NULL,NULL,0,2
174,CARAGA-FO-AD-GSS,FO General Service Section,NULL,NULL,CARAGA-FO-AD,16,NULL,NULL,NULL,NULL,0,2
175,CARAGA-FO-AD-PS,FO Procurement Section,NULL,NULL,CARAGA-FO-AD,16,NULL,NULL,NULL,NULL,0,2
176,CARAGA-FO-AD-PSS,FO Property and Supply Section,NULL,NULL,CARAGA-FO-AD,16,NULL,NULL,NULL,NULL,0,2
177,CARAGA-FO-AD-RAMS,FO Records Management Section,NULL,NULL,CARAGA-FO-AD,16,NULL,NULL,NULL,NULL,0,2
178,CARAGA-FO-ALL,All DSWD Field Office CARAGA,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,0,2
179,CARAGA-FO-BAC,FO Bids and Awards Committee,NULL,NULL,NULL,16,NULL,NULL,NULL,NULL,0,2
180,CARAGA-FO-CBS-MTA,FO Minors Travelling Abroad Office,NULL,NULL,CARAGA-FO-PSD-COMBS,16,NULL,NULL,NULL,NULL,0,2
181,CARAGA-FO-CBSS-ANVRC,FO A/NVRC Island Cluster,NULL,NULL,CARAGA-FO-PSD-CBSS,16,NULL,NULL,NULL,NULL,0,2
